,TeenBirthRate,ZipCode,TotalBirths2012-2014,PrematureBirth,LowBirthWeight
620,2.6,11559,307.0,7.2,5.2
621,7.1,11560,171.0,11.1,7.6
622,8.5,11561,1084.0,11.5,8.1
623,2.5,11563,748.0,10.8,7.9
624,4.3,11565,240.0,8.8,5.0
625,1.4,11566,976.0,9.9,8.3
626,0.0,11568,54.0,14.8,7.4
627,4.6,11570,774.0,9.3,7.0
628,2.0,11572,844.0,11.0,8.6
629,39.7,11575,902.0,17.1,10.6
630,0.8,11576,256.0,8.6,5.1
631,1.5,11577,348.0,7.5,4.3
632,0.0,11579,109.0,7.4,6.4
633,6.5,11580,1194.0,13.1,9.4
634,4.6,11581,639.0,10.8,8.9
635,23.1,11590,2054.0,12.5,7.6
636,0.0,11596,277.0,5.8,6.5
637,0.0,11598,530.0,10.4,9.8
638,1.5,11709,120.0,12.6,6.7
639,3.8,11710,992.0,9.2,8.0
640,3.2,11714,634.0,7.9,6.2
641,0.0,11732,79.0,8.9,3.8
642,6.9,11735,973.0,11.3,6.6
643,0.0,11753,225.0,11.1,8.4
644,3.8,11756,1194.0,10.6,7.6
645,2.6,11758,1512.0,9.3,7.7
646,0.4,11762,682.0,8.7,5.9
647,,11765,10.0,50.0,50.0
648,2.8,11771,255.0,9.9,7.5
649,1.8,11783,613.0,8.0,4.9
650,0.4,11791,567.0,9.0,7.4
651,1.4,11793,908.0,11.5,7.9
652,0.0,11797,173.0,11.0,6.4
653,8.3,11801,1267.0,11.4,8.8
654,1.1,11803,721.0,10.1,8.9
655,0.0,11804,133.0,17.3,11.3
657,14.2,13054,51.0,11.8,13.7
658,14.8,13303,28.0,10.7,10.7
659,15.2,13304,34.0,2.9,2.9
660,27.2,13308,119.0,10.2,9.2
661,16.8,13309,178.0,11.2,7.3
662,24.0,13316,163.0,7.4,3.1
663,30.8,13318,51.0,5.9,7.8
664,,13319,31.0,6.5,12.9
665,25.0,13322,35.0,11.4,5.7
666,3.1,13323,217.0,7.4,4.1
667,0.0,13328,40.0,12.5,5.0
668,32.3,13338,30.0,10.0,3.3
669,14.9,13354,94.0,9.6,5.3
670,29.9,13363,83.0,4.8,7.2
671,9.5,13403,97.0,11.3,5.2
672,7.6,13413,372.0,8.1,6.5
673,49.2,13417,108.0,8.3,4.6
674,8.7,13424,57.0,15.8,8.8
675,14.7,13425,89.0,3.4,2.2
676,17.4,13438,123.0,8.9,2.4
677,37.7,13440,1468.0,12.3,8.5
678,10.0,13456,108.0,9.3,7.4
679,3.9,13461,91.0,12.1,9.9
680,,13469,29.0,17.2,10.3
681,16.4,13471,106.0,11.3,7.5
682,29.2,13476,104.0,8.8,6.7
683,38.8,13477,41.0,4.9,0.0
684,6.7,13478,90.0,8.9,4.4
685,11.2,13480,109.0,11.9,7.3
686,,13483,11.0,18.2,18.2
687,,13486,25.0,8.0,4.0
688,8.8,13490,25.0,16.0,4.0
689,7.4,13492,301.0,11.6,6.3
690,20.2,13495,56.0,16.1,7.1
691,42.7,13501,1939.0,17.1,9.7
692,33.0,13502,1243.0,13.3,9.8
